Dataset,Region_1,Region_2,N,p_value,significance
PolyPhen,binding place,lining residues,14,0.5589249503358885,ns
PolyPhen,lining residues,transmembrane region,14,2.6753674045520818e-05,***
PolyPhen,transmembrane region,average for protein,14,4.248514921939617e-07,***
PolyPhen,average for protein,intracellular domain,14,0.708424530574022,ns
PolyPhen,intracellular domain,extracellular domain,14,4.0280854194047317e-07,***
AlphaMissense,binding place,lining residues,14,0.3541346403467807,ns
AlphaMissense,lining residues,transmembrane region,14,6.394463125535754e-05,***
AlphaMissense,transmembrane region,average for protein,14,1.210022491520867e-09,***
AlphaMissense,average for protein,intracellular domain,14,0.04272885291092942,*
AlphaMissense,intracellular domain,extracellular domain,14,3.825814910005745e-06,***
SIFT,binding place,lining residues,14,0.9913942684363659,ns
SIFT,lining residues,transmembrane region,14,0.004614113075013089,**
SIFT,transmembrane region,average for protein,14,3.0341665802445993e-07,***
SIFT,average for protein,intracellular domain,14,0.027751336751852033,*
SIFT,intracellular domain,extracellular domain,14,3.997645632360537e-07,***
