Dataset,Region,Mean,SEM,CI,N
PolyPhen,binding place,0.8771428571428572,0.031320192753195676,0.067663162738377,14
PolyPhen,lining residues,0.886,0.02272603193416148,0.04909660707633493,14
PolyPhen,lining residues without binding place,0.8434892857142857,0.020130767672982833,0.04348987951124651,14
PolyPhen,average for protein,0.7362857142857144,0.017937752126015682,0.038752157460443075,14
PolyPhen,transmembrane region,0.8072142857142858,0.015659206669949216,0.03382965927483137,14
PolyPhen,intracellular domain,0.7327857142857143,0.01743848799128789,0.037673562872481144,14
PolyPhen,extracellular domain,0.5469285714285713,0.026262090734233707,0.05673579767542039,14
PyMissense,binding place,0.7115714285714286,0.03625349006097559,0.078320903615117,14
PyMissense,lining residues,0.7262857142857142,0.029936274546976654,0.06467338922255321,14
PyMissense,lining residues without binding place,0.6900178571428571,0.02841404215181331,0.06138480606819004,14
PyMissense,average for protein,0.5659285714285714,0.021822325569233164,0.04714426817089787,14
PyMissense,transmembrane region,0.6347142857142858,0.021117522689018068,0.045621634119496476,14
PyMissense,intracellular domain,0.5423571428571428,0.020853652048685885,0.04505157625876206,14
PyMissense,extracellular domain,0.3998571428571429,0.02463198517938721,0.05321416872800413,14
SIFT,binding place,0.07042857142857142,0.007340774494062902,0.015858779131135,14
SIFT,lining residues,0.0705,0.005262087080195504,0.011368047995632173,14
SIFT,lining residues without binding place,0.07315714285714284,0.004890891559948695,0.010566128828271567,14
SIFT,average for protein,0.11757142857142858,0.005581281791526094,0.012057626245299468,14
SIFT,transmembrane region,0.08678571428571429,0.003024040255394766,0.006533041783636587,14
SIFT,intracellular domain,0.12528571428571428,0.0043518703462079485,0.009401644292937527,14
SIFT,extracellular domain,0.19135714285714284,0.00909631439846891,0.019651392515783423,14
