identifier	all	intracellular	extracellular	transmembrane	lining residues	binding pocket
GLUT1	0,732	0,722	0,528	0,786	0,829	0,908
GLUT2	0,689	0,725	0,430	0,773	0,814	0,672
GLUT3	0,780	0,780	0,556	0,840	0,952	0,954
GLUT4	0,722	0,643	0,523	0,801	0,942	0,904
GLUT14	0,723	0,733	0,501	0,787	0,902	0,933
GLUT5	0,799	0,799	0,656	0,839	0,901	0,916
GLUT7	0,789	0,779	0,673	0,831	0,877	0,852
GLUT9	0,794	0,742	0,690	0,841	0,929	0,955
GLUT11	0,634	0,615	0,487	0,676	0,641	0,578
GLUT6	0,808	0,818	0,597	0,878	0,965	0,971
GLUT8	0,807	0,807	0,640	0,865	0,931	0,880
GLUT10	0,762	0,772	0,548	0,878	0,967	0,988
GLUT12	0,603	0,668	0,342	0,719	0,859	0,826
GLUT13	0,666	0,656	0,486	0,787	0,895	0,943
