protein	average for protein	binding place	lining residues	lining residues without binding place	transmembrane region	intracellular domain	extracellular domain
GLUT1	0.67	0.844	0.767	0.72865	0.72	0.643	0.504
GLUT2	0.501	0.463	0.614	0.5832999999999999	0.579	0.483	0.314
GLUT3	0.658	0.864	0.869	0.82555	0.726	0.613	0.465
GLUT4	0.622	0.817	0.848	0.8056	0.692	0.535	0.467
GLUT14	0.619	0.797	0.804	0.7638	0.689	0.588	0.437
GLUT5	0.635	0.793	0.766	0.7277	0.682	0.577	0.548
GLUT7	0.499	0.526	0.53	0.5035	0.543	0.459	0.419
GLUT9	0.579	0.779	0.768	0.7296	0.647	0.516	0.41
GLUT11	0.488	0.513	0.513	0.488	0.53	0.457	0.356
GLUT6	0.55	0.72	0.753	0.7153499999999999	0.628	0.566	0.306
GLUT8	0.578	0.628	0.733	0.6963499999999999	0.663	0.542	0.38
GLUT10	0.405	0.703	0.666	0.6327	0.5	0.399	0.237
GLUT12	0.472	0.653	0.69	0.6555	0.556	0.528	0.275
GLUT13	0.647	0.862	0.847	0.80465	0.731	0.687	0.48
