identifier	all	intracellular	extracellular	transmembrane	lining residues	binding pocket
GLUT1	0,670	0,643	0,504	0,720	0,767	0,844
GLUT2	0,501	0,483	0,314	0,579	0,614	0,463
GLUT3	0,658	0,613	0,465	0,726	0,869	0,864
GLUT4	0,622	0,535	0,467	0,692	0,848	0,817
GLUT14	0,619	0,588	0,437	0,689	0,804	0,797
GLUT5	0,635	0,577	0,548	0,682	0,766	0,793
GLUT7	0,499	0,459	0,419	0,543	0,530	0,526
GLUT9	0,579	0,516	0,410	0,647	0,768	0,779
GLUT11	0,488	0,457	0,356	0,530	0,513	0,513
GLUT6	0,550	0,566	0,306	0,628	0,753	0,720
GLUT8	0,578	0,542	0,380	0,663	0,733	0,628
GLUT10	0,405	0,399	0,237	0,500	0,666	0,703
GLUT12	0,472	0,528	0,275	0,556	0,690	0,653
GLUT13	0,647	0,687	0,480	0,731	0,847	0,862
