protein	average for protein	binding place	lining residues	lining residues without binding place	transmembrane region	intracellular domain	extracellular domain
GLUT1	0.105	0.057	0.079	0.08295000000000001	0.079	0.125	0.18
GLUT2	0.109	0.142	0.072	0.0756	0.075	0.105	0.2
GLUT3	0.099	0.048	0.056	0.058800000000000005	0.074	0.117	0.169
GLUT4	0.102	0.046	0.047	0.049350000000000005	0.074	0.127	0.173
GLUT14	0.105	0.047	0.053	0.05565	0.077	0.118	0.174
GLUT5	0.099	0.065	0.071	0.07454999999999999	0.08	0.115	0.146
GLUT7	0.104	0.079	0.065	0.06825	0.084	0.11	0.156
GLUT9	0.112	0.06	0.078	0.0819	0.088	0.133	0.172
GLUT11	0.117	0.108	0.123	0.117	0.097	0.129	0.181
GLUT6	0.118	0.066	0.062	0.0651	0.088	0.108	0.218
GLUT8	0.117	0.052	0.086	0.09029999999999999	0.094	0.119	0.178
GLUT10	0.152	0.061	0.05	0.052500000000000005	0.098	0.143	0.255
GLUT12	0.14	0.059	0.06	0.063	0.095	0.139	0.222
GLUT13	0.167	0.096	0.085	0.08925000000000001	0.112	0.166	0.255
