identifier	all	intracellular	extracellular	transmembrane	lining residues	binding pocket
GLUT1	0,105	0,125	0,180	0,079	0,079	0,057
GLUT2	0,109	0,105	0,200	0,075	0,072	0,142
GLUT3	0,099	0,117	0,169	0,074	0,056	0,048
GLUT4	0,102	0,127	0,173	0,074	0,047	0,046
GLUT14	0,105	0,118	0,174	0,077	0,053	0,047
GLUT5	0,099	0,115	0,146	0,080	0,071	0,065
GLUT7	0,104	0,110	0,156	0,084	0,065	0,079
GLUT9	0,112	0,133	0,172	0,088	0,078	0,060
GLUT11	0,117	0,129	0,181	0,097	0,123	0,108
GLUT6	0,118	0,108	0,218	0,088	0,062	0,066
GLUT8	0,117	0,119	0,178	0,094	0,086	0,052
GLUT10	0,152	0,143	0,255	0,098	0,050	0,061
GLUT12	0,140	0,139	0,222	0,095	0,060	0,059
GLUT13	0,167	0,166	0,255	0,112	0,085	0,096

