protein	average for protein	binding place	lining residues	lining residues without binding place	transmembrane region	intracellular domain	extracellular domain
GLUT1	0.732	0.908	0.829	0.78755	0.786	0.722	0.528
GLUT2	0.689	0.672	0.814	0.7732999999999999	0.773	0.725	0.43
GLUT3	0.78	0.954	0.952	0.9043999999999999	0.84	0.78	0.556
GLUT4	0.722	0.904	0.942	0.8948999999999999	0.801	0.643	0.523
GLUT14	0.723	0.933	0.902	0.8569	0.787	0.733	0.501
GLUT5	0.799	0.916	0.901	0.85595	0.839	0.799	0.656
GLUT7	0.789	0.852	0.877	0.83315	0.831	0.779	0.673
GLUT9	0.794	0.955	0.929	0.8825500000000001	0.841	0.742	0.69
GLUT11	0.634	0.578	0.641	0.634	0.676	0.615	0.487
GLUT6	0.808	0.971	0.965	0.91675	0.878	0.818	0.597
GLUT8	0.807	0.88	0.931	0.88445	0.865	0.807	0.64
GLUT10	0.762	0.988	0.967	0.91865	0.878	0.772	0.548
GLUT12	0.603	0.826	0.859	0.8160499999999999	0.719	0.668	0.342
GLUT13	0.666	0.943	0.895	0.85025	0.787	0.656	0.486
